review_text,rating,review_date,app_version,likes,app_name,category
"zomato is doing very very very bad these days.VERY VERY BAD online food delivery app, shows delivery time 10-15mins but it will not deliver after 1hour. while ordering food ,food will be delivered in 10-15mins but after ordering food delivery time will increase to 30-35mins.wrost experience, wrost app,day -by-day going wrose",1,03-03-2026 22:14,19.3.9,0,Zomato,Food Delivery
good offers,4,03-03-2026 22:14,,0,Zomato,Food Delivery
woman,2,03-03-2026 22:14,,0,Zomato,Food Delivery
good,5,03-03-2026 22:14,19.4.2,0,Zomato,Food Delivery
"No food is available on zomato. Veg, non-veg.",1,03-03-2026 22:08,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 22:08,,0,Zomato,Food Delivery
yummy app,5,03-03-2026 22:08,19.3.9,0,Zomato,Food Delivery
better then Swiggy app❤️✌️,4,03-03-2026 22:08,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 22:08,,0,Zomato,Food Delivery
very good 👍 thankyou 🙏,5,03-03-2026 22:06,,0,Zomato,Food Delivery
excilent,5,03-03-2026 22:04,19.4.2,0,Zomato,Food Delivery
User unfriendly customer care,1,03-03-2026 22:03,19.4.2,0,Zomato,Food Delivery
😄,5,03-03-2026 22:03,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 22:03,,0,Zomato,Food Delivery
"I don't know what is the problem with this app everytime I change my location, it gives me a prompt to chnage manually I do that but still the order is delivered at the previous location.",5,03-03-2026 22:02,19.4.2,0,Zomato,Food Delivery
Good useful for working families and others..,5,03-03-2026 22:00,19.3.9,0,Zomato,Food Delivery
I have been using zomato since its inception of gold membership. mostly glitch free and smooth transaction.,5,03-03-2026 22:00,,0,Zomato,Food Delivery
it's my first order in this aap and experience is good,5,03-03-2026 21:57,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 21:57,,0,Zomato,Food Delivery
Not changing attitude again the same false promise new normal @zomato side effects of duopoly or i should say triopoly you think coustmer can not do anything 👎 and the movie continue again,1,03-03-2026 21:56,19.4.2,0,Zomato,Food Delivery
Great experience,5,03-03-2026 21:55,19.3.7,0,Zomato,Food Delivery
very good 👍😊 app,5,03-03-2026 21:55,19.4.2,0,Zomato,Food Delivery
good 👍,4,03-03-2026 21:55,19.3.9,0,Zomato,Food Delivery
nice,5,03-03-2026 21:55,19.4.2,0,Zomato,Food Delivery
the experience of the app has changed from being convenient to being frustrating with the unwanted charges and time taken for deliveries increasing multi-fold due to the new delivery system being used,2,03-03-2026 21:55,19.4.2,0,Zomato,Food Delivery
